	ENCFF003GCY	ENCFF020FWO	ENCFF024SOP	ENCFF024TPY	ENCFF025BJB	ENCFF036JUB	ENCFF039XCN	ENCFF040GTO	ENCFF047JNI	ENCFF051VXY	ENCFF058VTF	ENCFF067JJG	ENCFF068XKO	ENCFF081JVT	ENCFF083YCN	ENCFF084GLJ	ENCFF085SZC	ENCFF102GUG	ENCFF109TAE	ENCFF115HTH	ENCFF116GQA	ENCFF132JBP	ENCFF132MDE	ENCFF133DIO	ENCFF134ZDK	ENCFF148PHO	ENCFF153WQN	ENCFF172GSX	ENCFF173YTQ	ENCFF174VRM	ENCFF183AEI	ENCFF195YWM	ENCFF197KHQ	ENCFF203HVV	ENCFF205UIO	ENCFF214NKM	ENCFF216SYK	ENCFF226AOZ	ENCFF227WZR	ENCFF232BIG	ENCFF249GZW	ENCFF262FHU	ENCFF270GNM	ENCFF290EPY	ENCFF291MQR	ENCFF293ZIH	ENCFF305WVB	ENCFF316XWU	ENCFF329GDP	ENCFF336YFC	ENCFF338EDR	ENCFF341RBP	ENCFF348CJE	ENCFF363XQF	ENCFF370OYQ	ENCFF378QVC	ENCFF378WSR	ENCFF389QWJ	ENCFF391WYC	ENCFF395KUT	ENCFF402THI	ENCFF422YFH	ENCFF435GTP	ENCFF438GJD	ENCFF444VNW	ENCFF466BFI	ENCFF468NND	ENCFF474QSW	ENCFF484XHW	ENCFF490EXW	ENCFF498MDZ	ENCFF499CXR	ENCFF512TSJ	ENCFF561ENC	ENCFF577ZMC	ENCFF578BEO	ENCFF589FTC	ENCFF589IQE	ENCFF597TKH	ENCFF609BOM	ENCFF612BRI	ENCFF617DDH	ENCFF635WCC	ENCFF639EJH	ENCFF642UFQ	ENCFF645FNZ	ENCFF667BSO	ENCFF675ZGP	ENCFF677BGN	ENCFF679QGU	ENCFF680GPQ	ENCFF682LFV	ENCFF683CID	ENCFF685YFE	ENCFF709TMH	ENCFF721LXU	ENCFF727SUT	ENCFF765ADK	ENCFF765BJR	ENCFF779CFZ	ENCFF782KJY	ENCFF808FRN	ENCFF811RTH	ENCFF812GJU	ENCFF819NTW	ENCFF833SIZ	ENCFF843QJV	ENCFF845VOI	ENCFF848SAN	ENCFF849KDW	ENCFF861KWC	ENCFF866OCE	ENCFF871EKB	ENCFF880ORV	ENCFF889NTH	ENCFF909JGU	ENCFF913NRZ	ENCFF914SZL	ENCFF916NTG	ENCFF919NRH	ENCFF932ATD	ENCFF936OHE	ENCFF948CVH	ENCFF948PWG	ENCFF962JWU	ENCFF966HTZ	ENCFF967WVU	ENCFF971IBL	ENCFF978OUM	ENCFF979NIV	ENCFF983AVE	ENCFF987DJP	ENCFF992VNB
Eutr16	1.704188716	0.579822188	0.641025641	0	2.064220183	0.548245614	0.366166239	0.679314862	0.467071462	1.279954491	0.896286812	1.223507124	0.212426978	0.371931565	1.062367204	0.810263336	1.56020558	0	0.613798183	0.810445745	0	0.981798958	0.933202358	0.63500127	2.02020202	1.005640331	0.786605237	0.628239359	0.699422976	1.383125864	0.643583473	0.596747725	0.861326443	1.432105195	1.155401502	1.534212949	0.43205876	1.213960546	1.080458114	1.780868385	1.662146794	0	0.192715359	0.41684035	1.248352868	0.474833808	0.790570648	1.213734779	1.290473956	0.813272609	0.78369906	1.005816242	0.567939798	0.411184211	0.3996004	0.615479305	0.916132256	1.280956447	0.891492613	0.5227847	0.607681089	0.809388911	0.474045982	1.231802912	1.411930815	0.826582906	0.455996352	0.867208672	0.497925311	0.65667068	0	0.983436853	0.212449543	0.496360026	0.369480879	0.670273376	1.479071143	0.700239248	0	1.427491813	0.809519955	0.564573042	0	0.974608874	0.192086055	0.789141414	1.325940212	1.113204316	1.199220507	1.06925188	0.586252382	1.78197065	1.41382723	1.046733576	1.572181633	1.442878968	1.460173761	1.363636364	0.582411182	1.697034655	1.185146168	1.428118058	0.734312417	0.971272741	1.012145749	0.402495472	0.754034082	0.58910162	0.330578512	1.432356943	1.043236351	1.36567601	0	0.215470804	1.043478261	0.741729714	0.667111408	1.213101496	0	1.630257581	0.431592577	0	0.579822188	0.800426894	1.246019659	0.622761949	0.447727782	0.799418605	1.117068811	0.56893609	0.819000819	0	0.444148346
Harlequin-int	0.545267705	0.249173198	0.21655959	0.139577081	0.417536534	0.178139712	0.369769889	0.407864589	0	0.409018866	0.058481242	0.778461881	0.64871878	0.367387311	0.739198648	0.38529459	0.347508796	0.143379454	0.611821587	0.35366564	0.045343248	0.443373494	0.305373349	0.479690522	0.415606006	0.386513975	0.287537311	0.216489266	0.442642145	0.391650022	0.47949761	0.104220948	0.02868535	0.518655895	0.419265238	0.238103337	0.097551458	0.667496527	0.390854016	0.494413132	0.37471116	0.14059754	0.086831937	0.095960081	0.380414108	0.304661318	0.378377449	0.784018246	0.26328954	0.558863772	0.287108814	0.388698858	0.197173842	0.139340455	0.227417447	0.070539273	0.357178291	0.406448991	0.058548009	0.40808831	0.61500615	0.387866251	0	0.336848651	0.388455114	0.71599969	0.309119011	0.277126949	0.188231751	0.256990132	0.043406546	0.507478971	0.653463356	0.187871045	0.084806852	0.40821227	0.239193576	0.44113671	0.054430655	0.56569085	0.556322897	0.19345478	0.045506257	0.512367265	0.08664385	0.211498467	0.455012476	0.345893594	0.66905356	0.390349084	0.19785003	0.421438842	0.197284056	0.734181388	0.350140056	0.565530892	0.502747777	0.62797306	0.08726765	0.549137221	0.152355415	0.445649348	0.339602503	0.446073583	0.134643867	0.139088507	0.136742787	0.249043447	0.260339185	0.504023498	0.267086883	0.634397006	0.045612115	0.146312915	0.269113808	0.138140627	0.258337854	0.340399195	0.054086213	0.627042639	0.098396143	0.10976346	0.085847963	0.354277378	0.344816777	0.071278378	0.09846881	0.37826685	0.421340917	0.33283039	0.712072516	0	0.098430041
HERV1_I-int	2.232142857	2.04792136	1.259049418	1.785714286	1.913875598	1.595259799	1.951695535	1.003680161	1.836547291	2.188868043	1.043024772	1.330798479	2.885682575	2.019691997	2.083622725	1.159588346	2.340550029	1.9467878	1.921493275	1.866368048	1.933488012	1.360544218	1.238459806	1.693719125	1.89618393	1.234060058	1.128668172	1.304631442	0.652315721	2.743484225	1.688001125	1.554243084	1.018070756	1.560505036	1.656804734	1.837672282	1.690617075	2.115885417	1.205753165	2.115655853	2.22098834	1.823708207	1.912045889	1.687051877	1.219193591	1.834862385	1.235521236	1.334477171	1.176470588	2.457002457	1.145038168	1.245071592	1.149425287	2.071251036	1.932740626	1.573811772	1.409194997	2.209944751	1.055408971	1.283932502	1.906837374	1.172161172	1.866542231	1.612160295	2.702702703	2.283105023	1.759014952	1.558325913	1.956947162	1.56564527	1.91791331	1.638193307	2.852754005	1.940491591	1.895375284	0.996457042	1.805597352	0.652997257	2.29147571	2.176673318	2.45959241	1.128031585	1.601922307	1.667262117	1.949317739	1.277139208	2.001868411	1.108424023	2.117263844	1.229580186	1.16177752	1.938819474	2.255427122	2.076124567	2.381897578	2.153625269	1.724949036	2.14992117	1.866368048	2.277904328	1.946607341	2.874480996	1.606543012	1.367989056	1.468428781	1.939487975	1.191540066	2.01247736	2.027027027	1.754665816	1.19760479	2.127357822	1.706484642	1.670843776	1.224289912	1.172332943	1.610676484	1.906318083	2.314814815	2.06682742	2.095557418	1.915708812	1.947040498	1.844337883	1.935305502	1.56838143	2.205558006	1.248829223	1.642806853	1.975503753	2.237521515	1.406469761	1.6273393
HERVE_a-int	1.291989664	0.667273279	0.673919322	0.366837858	1.308539945	0.612703383	0.076068766	0.698649278	0.267022697	1.304266816	0.391420072	1.282526292	0.394840748	0.074421374	1.239566978	1.091750731	1.216122307	0.383950854	0.892458724	1.339285714	0.35335689	0.786611333	0.709987153	0.797816502	1.34437133	0.892527391	0.523658126	0.672043011	0.46696241	1.258389262	0.792922127	0.278060988	0.383936113	1.036761847	1.938789641	0.898634076	1.152959262	1.275572781	0.811560815	1.113762928	1.1722675	0.36954915	0.45151823	1.01845958	0.772220649	0	0.844753144	1.273488793	0.71372493	0.983335058	0.526691998	0.891046519	0.956771332	1.9709288	1.715896556	0.373692078	1.353692874	1.288007728	0.385594201	1.093972213	0.910746812	1.099384345	0.271333605	1.809199081	1.248699272	1.259710267	0	1.091628573	0.396314277	1.157013544	0.45672528	0.733214622	0.405899066	0.394244037	0.338524035	0.708478122	0.918273646	0.466835246	0.28304557	1.189639323	0.986551742	0.774393392	0.481521608	0.743915831	0.459400482	0.743840074	1.260521287	0.791548695	1.270275552	0.819152309	0.943881929	1.324591033	0.864229539	1.237572707	1.229508197	1.188803631	1.184497299	1.329730193	0.452028478	1.290539782	1.351029166	1.095508415	1.15217584	0.790470739	1.311532745	1.919155572	1.622498648	0.669873942	0.199064397	1.166534459	0.789492572	1.34531094	0.478011472	0.254355844	0.791765637	1.627928009	1.171848073	1.603781548	0.282246684	1.204251531	0.387046833	0.145900204	0.45918953	1.336079719	1.57258732	0.37590452	0.387697079	0.840925018	1.961608519	0.418910832	1.253525541	0.406173842	1.146642884
HERVE-int	1.941816128	1.436890267	0.662052362	0.807288663	1.995748189	0.938726745	0.611476952	1.334894133	0.882378893	1.432254368	0.241056793	1.593183943	0.987898246	0.615209881	1.504718184	1.470668337	1.835131762	0.688073394	1.379552523	1.568709475	0.664157627	1.213874755	1.33269475	1.5973186	2.007506328	1.139860937	0.785564104	0.667030501	0.942393195	2.003360476	1.597444089	1.043599258	0.238526858	1.398749043	1.568695804	1.643804557	1.046193465	1.461632156	1.022070331	1.748078762	1.78479492	0.709219858	0.862068966	1.103926825	1.080437812	0.33675703	1.362318841	1.606790436	1.205895489	1.542218224	0.791102424	1.139060275	1.028194166	1.530221882	1.670843776	0.995374436	1.55474694	1.438600529	0.240558095	1.401901115	1.396222583	1.472111662	0.867001907	1.542548633	1.996908013	1.692157501	0.328137818	1.053429968	0.806351569	0.893350917	0.78125	1.273198101	1.009209032	0.813109832	1.058126411	1.333798453	1.653552286	0.932835821	0.619688385	1.652000944	1.556167936	1.029698678	0.753863551	1.278550687	0.863682165	0.520141016	1.263095327	1.185382749	1.420111192	1.026743459	1.031039722	2.06492112	1.639613051	1.492348552	1.834323868	1.652335188	1.472450452	1.593667827	1.003080891	1.918983985	1.443719819	2.041321292	1.269241156	1.21979748	1.454626832	1.523345266	1.419809178	1.432232776	0.79862391	1.473795909	1.030974046	1.594896332	0.753693096	0.705329154	1.028668545	1.414827391	0.896669513	1.449050354	0.629270047	1.682357889	0.486815416	0.455290475	1.007556675	1.571283914	1.417506202	0.991831972	0.490035936	1.372743735	1.575837163	1.272121824	1.675257732	1.035285998	1.02970297
HERVIP10F-int	1.664447403	0.480461243	0.254469114	0.508646999	1.563505932	0.401875419	0.442673749	0.469744203	0.573888092	1.353057911	0.204300526	1.292082406	0.836083608	0.454155523	1.102862062	0.370962219	1.364948132	0.373041532	0.617085211	0.478997789	0.317233722	0.530340616	0.545827693	0.684088111	1.564657156	0.472775983	0.391628932	0.25503698	0.40243473	1.60022264	0.680031553	0.309923759	0.151530458	1.195739829	0.327653997	1.209774982	0.525348043	1.219629618	0.510750474	1.613978457	1.279286524	0.382799541	0.391205696	0.510507955	0.465541875	0.535905681	0.486647606	1.292708763	0.373674623	1.056182072	0.389540829	0.470957614	0.463472568	0.329191013	0.319744205	0.315179022	0.492610837	1.360009671	0.205149246	0.505780347	0.608932779	0.370792926	0.54894785	0.320087796	1.613582152	1.264265701	0.545752228	0.312360553	0.200494553	0.228206298	0.379218809	0.7697358	0.832712451	0.201979398	0.306325624	0.471910594	1.220256254	0.399670272	0.286752055	1.427449861	1.051917204	0.344768143	0.321802092	0.766836574	0.384083577	0.248447205	1.1967324	0.457849253	1.23037073	0.512998726	0.458794517	1.754385965	1.221498371	1.088254811	1.354174727	1.423284942	1.323606366	1.175449889	0.231946807	1.684194768	0.318302387	1.315443304	0.486980435	0.528352053	0.470837502	0.326717308	0.480827022	0.483422632	0.198333994	1.323402684	0.38517092	1.166601855	0.321517563	0.343288706	0.379200834	0.482683721	0.228123004	0.276334697	0.288184438	1.372430876	0.436566838	0.195465207	0.227617602	0.479333358	0.273912567	0.311158131	0.43660496	0.487656202	0.321942694	0.474683544	1.267036504	0.554579906	0.519930676
HERVIP10FH-int	1.515406634	0.852170793	0.642352437	1.00488085	1.501812532	0.859280226	1.123784908	0.820556103	0.855706493	1.541606622	0.348068221	1.519194437	1.238298083	1.140315867	1.146047605	0.785274532	1.527317158	0.726744186	0.788643533	0.75144026	0.818256205	0.814890268	0.663979132	1.116947413	1.500336282	0.769987595	0.722176157	0.652173913	0.759664622	1.407569596	1.120940378	0.614880098	0.452744765	1.486390239	0.729927007	0.818274804	0.678031771	1.181948424	0.799644602	1.458645431	1.433251433	0.727166958	0.791556728	0.673854447	0.812642645	0.827300931	0.951539455	1.520230763	0.633111744	1.056284895	0.717779668	0.766495625	0.717640919	0.742390497	0.633943126	0.632555524	0.86082091	1.55457925	0.344431688	1.010999676	0.786919647	0.791815792	0.845219229	0.755629439	1.375936401	1.393027125	0.809061489	0.907349531	0.761614623	0.976161118	1.051709027	1.00411442	1.244771958	0.750976269	0.69881202	0.815470643	0.814387513	0.74860676	0.97255241	1.166344916	1.053542537	0.777806585	1.21336569	1.011646269	0.774793388	0.852272727	1.865457468	0.831618121	1.183347079	0.794786203	0.715912789	1.263178351	0.914853297	1.150306748	1.515939016	1.141732283	1.331512462	1.42604706	0.707151065	1.506843581	0.839832034	1.357568444	0.879176086	0.815207322	0.804235641	0.744878957	0.760877084	0.865761414	0.745267551	1.320467242	0.646203554	1.425737664	1.20359226	1.058710298	0.654022237	0.770793918	0.96441805	0.80475424	0.978899282	1.294005709	0.888099467	1.232492997	0.683702248	0.746330542	0.805951643	0.641208321	0.893655049	0.942602256	0.731873072	0.973365189	1.3844024	0.622600394	0.676393854
HERVK11D-int	0.648788927	1.173158142	0.750750751	2.260738508	0.527565286	0.532339633	0.586338317	0.868701911	0	0.88354833	0	1.361541684	0.508259212	0.592943967	0.310607237	1.843163539	0.448129061	2.212389381	0.606980273	1.705029838	0.909918107	0.807346856	0.891946993	0.789016885	0.552944429	1.258293297	0.563459642	0.755287009	0.592943967	0	0.796178344	0.360620267	0	1.136732705	1.83582481	0.713775874	2.393489708	0.375164134	1.075584238	1.022913257	0.209424084	2.19941349	1.766004415	0.982318271	1.128880527	0	0.715051841	1.391713949	1.077876583	0.395961196	0.568909117	1.282948449	2.059025395	1.445783133	1.423149905	0.367242012	1.620745543	0.889205051	0	1.682793437	0.625586487	1.851851852	0	1.871157445	0	0.40257649	0	1.043296818	1.577287066	1.323451562	1.761338617	0.40333423	0.511508951	1.55159038	1.296456353	0.880171005	0.705716302	0.586424278	0.538502962	0.625782228	0.399760144	1.328903654	1.423149905	0.404258186	1.769128704	0.361271676	1.08560794	1.350438893	0.380952381	1.069934831	2.02020202	0.510855683	0.680040802	0.31075202	0.449943757	0.625390869	1.26308192	0.995024876	1.350742909	0.651041667	2.452483139	0	1.682368775	0.81061911	0.997008973	1.476377953	1.751313485	1.189060642	0.372717108	1.243781095	1.096190737	0.971502591	1.403180543	0.537345513	1.092597651	1.765536723	1.328021248	2.175264139	0.53361793	0.998003992	2.10748156	0	1.320422535	1.785315778	2.255881405	0.360620267	1.996007984	0.715691537	1.912045889	1.134044001	0.403551251	0	2.41662639
HERVK3-int	2.079689937	1.223865375	0.248262165	0.639897616	1.774727875	0.866100814	0.255983617	1.51720401	0.594318317	2.063194896	0.529766241	1.545595054	0.782560089	0.258966723	0.941587921	0.69080861	2.001659913	0.654986082	1.17481203	1.086237839	0.605877007	1.411523162	1.662714313	1.254836348	1.778410101	0.839133225	0.516685916	0.24952175	0.799360512	1.079913607	1.252261027	0.472738733	0.518436913	1.704666525	0.901442308	1.715265866	0.337306049	1.127214171	0.740816956	2.104697506	2.2172949	0.647039793	0.795465845	0.440480123	0.780827677	0.476871722	0.853440919	1.552655266	0.650002955	1.39945771	0.527458889	0.835688829	0.448229494	0.628206471	0.820933812	0.241507004	1.160041048	2.055341986	0.534259383	0.733272227	1.178649604	0.695130428	0.589483612	1.104843868	1.086071138	1.270091534	0.474495848	0.461281209	0.852587603	0.464387299	0.786627335	1.030986884	0.79149706	0.860955661	0.675284584	1.507848892	1.705029838	0.801821739	0.494620997	2.005103901	1.394031801	0.363160953	0.413052458	1.026576936	0.804424334	0.322814946	1.843742798	0.819375828	1.143884304	0.738961759	0.449202665	2.066577301	1.915708812	0.941904666	2.03777336	1.948522748	1.56115838	1.805949008	0.689655172	2.126425672	0.951927653	1.10619469	0.759466204	1.409864781	0.611620795	0.622923588	0.55463117	1.226116277	0.940975192	1.561585009	0.737146016	1.791673986	0.41675349	0.764943722	0.733944954	0.550964187	0.463821892	1.076889942	0.497265042	2.138488516	0.561860883	0.632271118	0.688163586	1.0879334	1.055149128	0.242659549	0.555617291	0.855931214	0.89755864	1.328699918	1.268369489	0.482509047	0.336662552
LTR10A	10.74649779	0.519588486	0	0.679117148	11.48600144	0.586029067	1.167466597	0.515543641	1.002757583	7.878834239	0.400160064	5.68636536	1.130198915	1.164897748	7.076101469	0.498256104	7.624398074	0.659848235	0.531102702	0.189107413	0.647249191	0.401042711	0.52183896	0.54200542	11.67457132	0.41958042	0.88999644	0	1.498033831	11.73621461	0.550509221	0.815394651	0.402306558	7.691769806	0.354861604	4.830140074	0	8.495145631	0.456777435	10.30368764	7.056831012	0.669792364	0.607041684	0	0.476749303	0	0.691669228	5.69572188	0.488460129	7.983856817	0.903832249	0.426965226	0	0.219683656	0.215007525	0.825763832	0.539083558	7.831508516	0.408218805	0.460023921	0.525141132	0.499286733	0.972053463	0.235876872	11.62361624	8.01550251	0	0.579777365	0.175685172	0.475115809	0.617156964	5.508731339	1.150880424	0.174672489	0.607902736	0.516956162	4.902761889	1.475016901	0.768049155	8.4384273	7.986111111	0.147732309	0.644329897	5.441880714	0.616016427	0.16526194	6.643446852	0.409332788	8.563738684	0.461556214	0	11.18012422	5.420054201	7.129405434	7.589374875	8.27874818	8.608545938	7.308923848	0.64061499	10.69110347	0.288018433	10.95461659	0.425200198	0.401396861	0.15537601	0.214178625	0.159616919	0.520724849	0.347463516	8.639648131	0.494376468	7.325501037	0.631844987	0.934361131	0.498194047	0.162548765	0.473877503	0.292740047	0.786163522	7.371433527	0.702576112	0.514006682	0.621375311	0.192326185	0.293556436	0.819269212	0.691722389	0.681973176	0.368324125	0.499950005	7.854984894	1.002757583	0
