		 hTSC_CutTag_H3K27ac			hTSC_CutTag_H3K4me1			hTSC_CutTag_H3K4me3			hTSC_ChIP_H3K27ac_peaks			hTSC_ChIP_H3K4me3_peaks			Cytotrophoblast_H3K27ac_peaks			Cytotrophoblast_H3K4me3_peaks			CT29_hTSC_H3K9me3			CT27_hTSC_H3K27me3
rep	total	enrichment.x	pval.x	real.overlap.x	enrichment.y	pval.y	real.overlap.y	enrichment.x.x	pval.x.x	real.overlap.x.x	enrichment.y.y	pval.y.y	real.overlap.y.y	enrichment.x.x.x	pval.x.x.x	real.overlap.x.x.x	enrichment.y.y.y	pval.y.y.y	real.overlap.y.y.y	enrichment.x.x.x.x	pval.x.x.x.x	real.overlap.x.x.x.x	enrichment.y.y.y.y	pval.y.y.y.y	real.overlap.y.y.y.y	enrichment	pval	real.overlap
Harlequin-int	590	3.44600043991495	0	47	1.67390280901815	0.004	96	2.80725394419179	0	50	4.29553264604811	0	30	2.9226472689485	0	45	2.00911830615872	0.004	52	1.78126113288208	0.05	30	2.84558420186506	0	166	0.105574324324324	0	4
HERVE_a-int	190	3.71747211895911	0.002	17	1.70931040008547	0.036	32	2.2834774098842	0.044	14	4.44444444444444	0	11	3.27391778828665	0	18	2.01319762890057	0.03	18	2.55536626916525	0.008	15	3.67957834021182	0	74	1.77720332821714	0.066	22
HERVIP10F-int	327	3.93410376198672	0	32	1.8533904262798	0.002	58	2.39856086348191	0.03	24	4.14507772020725	0	16	1.72691687773429	0.16	15	2.14280776940623	0.014	31	1.07677398514052	0.874	10	5.00432472507105	0	162	0.332667997338656	0.056	7
HERVK3-int	368	2.87732147528119	0.03	22	2.36525907471065	0	75	2.52100840336134	0.038	24	5.01179245283019	0.002	17	2.90955091714105	0.002	23	3.06913220286964	0.002	40	3.58465766519297	0	30	3.85156406993101	0	115	1.08388312912347	0.782	23
LTR10A	327	11.9352088661552	0	84	2.03573058158717	0	58	3.9506764036873	0	33	30.5439330543933	0	73	2.02565833896016	0.096	12	10.0462917364326	0	102	2.84090909090909	0.01	17	7.59210089611683	0	183	0.261533633225233	0.002	5
LTR10F	450	3.00993277816795	0.004	30	1.93750919703733	0	79	1.03181427343078	0.928	12	5.19930675909879	0	18	1.28986866791745	0.496	11	2.73242707835235	0	40	0.467508181393174	0.19	4	4.10489634398441	0	139	0.691462260717665	0.246	19
LTR23	878	2.540489044141	0	48	2.61497430560073	0	201	2.14318285453716	0.002	47	2.94270382551497	0.002	17	1.64406083025072	0.07	24	3.75984020679121	0	96	1.76295090859778	0.05	26	1.40389125623493	0.012	85	0.385200593208914	0	20
LTR24B	462	2.41419124593261	0.008	23	1.8958543983822	0	75	1.89068408387762	0.048	22	5.67286479672234	0	18	1.13236034222446	0.832	9	2.92868648411188	0	40	1.74694285001248	0.146	14	0.618926780961812	0.076	20	0.782851817334576	0.424	21
LTR26C	316	3.15267977781114	0	21	2.40947026574013	0	69	2.20777627867043	0.034	18	4.83729111697449	0	11	1.05115627189909	0.956	6	3.83257690368129	0	38	1.20254251846762	0.74	7	2.30254583369537	0	53	1.18489516253671	0.582	23
LTR29	730	2.1836785625156	0.002	35	2.43275707400143	0	160	0.923060216104686	0.894	17	2.90923196276183	0	15	1.63297045101089	0.11	21	2.70066852614336	0	61	0.92793071450665	0.982	12	1.63185378590078	0	85	0.455435624174523	0.002	20
