	DMSO.1	DMSO.2	DMSO.3	SP600125.1	SP600125.2	SP600125.3
MIR1302-11	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
FAM138A	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
OR4F5	4.73636827958541	4.73636827958541	4.73636827958541	5.0316882792222	4.73636827958541	4.73636827958541
RP11-34P13.7	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-34P13.8	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-34P13.14	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-34P13.13	4.73636827958541	4.73636827958541	4.73636827958541	5.0316882792222	5.03704249764264	4.73636827958541
RP11-34P13.9	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
FO538757.3	4.73636827958541	4.73636827958541	5.13708382267861	4.73636827958541	4.73636827958541	4.73636827958541
FO538757.2	7.16264662213636	6.5458791814096	6.95613772828013	6.85215080607801	7.27101829310176	6.6762893826713
AP006222.2	5.43253818817986	5.12921023232675	4.73636827958541	5.5618132249088	5.75831961544535	5.34604946772661
RP5-857K21.15	4.73636827958541	5.01457718842431	4.73636827958541	5.15329107568632	4.73636827958541	4.73636827958541
RP4-669L17.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP4-669L17.10	5.23099856814777	5.29024088456287	5.30127328691047	5.0316882792222	5.16082330137716	4.73636827958541
OR4F29	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP5-857K21.1	5.30660048751758	5.29024088456287	5.13708382267861	5.740766392102	5.46638708598799	5.46281249389517
RP5-857K21.2	5.02287292524087	4.73636827958541	5.02017083352756	4.73636827958541	4.73636827958541	5.13718465369982
RP5-857K21.3	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP5-857K21.4	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP5-857K21.5	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
OR4F16	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-206L10.3	5.30660048751758	5.21676473967919	4.73636827958541	4.73636827958541	5.25529242349373	5.53051719752925
RP11-206L10.5	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	5.03704249764264	4.73636827958541
RP11-206L10.4	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-206L10.2	6.19232426318463	6.42285619547551	6.24884196764227	6.96535694073289	6.50468747694315	6.4968028263888
RP11-206L10.9	5.75009037169432	5.72175380211199	5.81220279395994	5.65622301782598	5.67240104356543	5.38746607860687
FAM87B	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
LINC01128	9.11391747071418	8.98672513270994	9.06687144738721	9.15453983204253	8.9501013286353	9.01639696320218
LINC00115	5.75009037169432	5.72175380211199	5.6631358916012	5.39221541509149	5.16082330137716	5.64966702264112
