	DMSO.1	DMSO.2	DMSO.3	SP600125.1	SP600125.2	SP600125.3
MIR1302-11	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4F5	0	0	0	1	0	0
RP11-34P13.7	0	0	0	0	0	0
RP11-34P13.8	0	0	0	0	0	0
RP11-34P13.14	0	0	0	0	0	0
RP11-34P13.13	0	0	0	1	1	0
RP11-34P13.9	0	0	0	0	0	0
FO538757.3	0	0	2	0	0	0
FO538757.2	90	48	74	61	91	81
AP006222.2	6	2	0	8	12	7
RP5-857K21.15	0	1	0	2	0	0
RP4-669L17.2	0	0	0	0	0	0
RP4-669L17.10	3	4	4	1	2	0
OR4F29	0	0	0	0	0	0
RP5-857K21.1	4	4	2	12	6	10
RP5-857K21.2	1	0	1	0	0	3
RP5-857K21.3	0	0	0	0	0	0
RP5-857K21.4	0	0	0	0	0	0
RP5-857K21.5	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
RP11-206L10.3	4	3	0	0	3	12
RP11-206L10.5	0	0	0	0	1	0
RP11-206L10.4	0	0	0	0	0	0
RP11-206L10.2	28	41	31	69	39	65
RP11-206L10.9	13	13	15	10	10	8
FAM87B	0	0	0	0	0	0
LINC01128	476	458	468	462	381	675
LINC00115	13	13	11	5	2	16
FAM41C	8	7	7	1	10	6
RP11-54O7.16	0	0	0	0	0	0
RP11-54O7.1	0	1	1	7	0	3
RP11-54O7.2	0	0	0	0	0	0
RP11-54O7.3	0	1	1	1	1	3
SAMD11	0	2	0	3	11	6
NOC2L	5239	5931	5517	3138	3092	5057
KLHL17	312	387	269	181	160	265
PLEKHN1	41	57	49	113	93	213
PERM1	1	1	0	6	0	1
RP11-54O7.17	120	128	61	109	105	178
HES4	390	410	265	419	376	558
ISG15	1507	1513	1285	1937	2025	3256
RP11-54O7.11	2	2	3	0	1	0
AGRN	17920	20305	16649	20856	22276	38368
RP11-54O7.14	1016	1053	910	1375	1243	2257
RP11-54O7.18	0	0	0	5	0	0
RNF223	32	32	31	43	56	83
C1orf159	567	642	601	532	514	881
LINC01342	0	0	0	0	0	0
RP11-465B22.8	0	0	0	0	0	0
TTLL10-AS1	2	0	2	2	0	0
TTLL10	0	1	0	0	0	1
TNFRSF18	0	0	0	1	1	0
TNFRSF4	1	0	0	0	0	0
