te	gene	strand	Control2_L7.D709	Control4_L4.D711	Control1_L7.D708	Control3_L5.D710
chr1_113103156_113103607_MER31A	LRIG2	+	0.420329	NA	NA	NA
chr1_26268832_26269405_LTR10A	CEP85	+	NA	0.230309	NA	NA
chr1_89952738_89953657_LTR8B	NA	+	1.678595	NA	NA	NA
chr11_111880293_111880813_MER41A	C11orf1	+	NA	0.037216	NA	NA
chr13_20439857_20440379_MER39	CRYL1	-	0.10272	0.094849	0.183106	0.076358
chr14_69811463_69811900_LTR3A	NA	+	5.610632	3.973202	13.451152	10.89091
chr15_34154710_34155010_LTR10A	KATNBL1	-	0.071848	0.321441	0.64855	0.063756
chr15_47338779_47339538_MER21A	NA	+	NA	1.20981	NA	1.112825
chr15_51338476_51338990_MER21A	CYP19A1	-	6.36121	5.324261	9.762637	7.871527
chr15_51338476_51338990_MER21A	NA	-	NA	NA	4.401699	NA
chr15_98890161_98890677_MER41A	IGF1R	+	0.477561	NA	1.154718	NA
chr15_98890161_98890677_MER41A	NA	+	6.102051	NA	NA	NA
chr17_77087688_77088029_MER41A	SNHG20	+	0.002354	0.006967	NA	0.003538
chr18_74500667_74501145_LTR2B	CNDP2	+	0.026342	0.600332	0.128406	0.024649
chr18_79915932_79915983_MER21A	SLC66A2	-	1.397227	0.844729	NA	0.518028
chr19_46202976_46203386_LTR7C	IGFL2-AS1	-	NA	NA	0.036985	0.012601
chr19_57820086_57820814_LTR8	NA	+	NA	NA	1.184495	1.565512
chr3_155022892_155023770_MER21A	NA	+	17.569572	NA	NA	NA
chr3_187021812_187022350_MER21A	ST6GAL1	+	NA	NA	1.162806	0.831859
chr3_42809253_42809581_MER39	ACKR2	+	2.209703	3.840839	1.625908	2.755021
chr3_42809253_42809581_MER39	RP11-141M3.6	+	NA	NA	0.713228	NA
chr3_42809253_42809581_MER39	NA	+	NA	NA	1.915597	NA
chr4_1739326_1739385_LTR10A	TACC3	+	0.087954	0.031639	0.036782	0.033882
chr6_22302484_22302981_MER39	PRL	-	NA	NA	0.343518	NA
chr6_87213284_87213856_LTR10A	NA	+	NA	1.948736	NA	NA
chr7_106774627_106775270_MER41B	LINC02577	+	0.932105	NA	NA	0.383513
chr7_106774627_106775270_MER41B	NA	+	NA	NA	1.567282	NA
chr7_137268352_137268846_LTR2B	NA	-	NA	3.803282	4.464104	3.343421
chr7_55906119_55906259_LTR23	ZNF713	+	NA	0.098526	0.174398	1.035675
chr7_7266428_7267063_MER41B	AC005532.5	+	NA	4.674401	3.084491	1.384195
chr8_102871928_102872716_MER21A	AZIN1	-	NA	NA	0.20577	0.227258
chr9_129338482_129338896_MER41C	LINC01503	+	NA	0.737266	0.10233	NA
chrX_10589853_10590340_LTR2B	MID1	-	NA	NA	0.54496	NA
chrX_10589853_10590340_LTR2B	NA	-	NA	1.078641	NA	NA
chrX_5726184_5726882_LTR8	RP11-733O18.1	-	1.612407	0.5947	1.45791	2.133607
